timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769049448898,731,GET /api/customer/owners,200,OK,Petclinic Load Test 1-1,text,true,,2917,176,1,1,http://4.156.9.169/api/customer/owners,726,0,102
1769049450832,216,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-1,text,true,,336,178,1,1,http://4.156.9.169/api/customer/owners/1,216,0,0
1769049452579,289,GET /api/vet/vets,200,OK,Petclinic Load Test 1-1,text,true,,781,169,2,2,http://4.156.9.169/api/vet/vets,289,0,0
1769049453040,174,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-2,text,true,,128,189,2,2,http://4.156.9.169/api/visit/owners/*/pets/2/visits,174,0,32
1769049454846,609,GET /api/customer/owners,200,OK,Petclinic Load Test 1-1,text,true,,2910,176,2,2,http://4.156.9.169/api/customer/owners,609,0,0
1769049455515,143,POST /api/customer/owners,201,Created,Petclinic Load Test 1-2,text,true,,268,343,2,2,http://4.156.9.169/api/customer/owners,143,0,0
1769049457189,312,GET /api/vet/vets,200,OK,Petclinic Load Test 1-2,text,true,,781,169,2,2,http://4.156.9.169/api/vet/vets,312,0,0
1769049457500,206,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-1,text,true,,336,178,2,2,http://4.156.9.169/api/customer/owners/1,206,0,0
1769049459447,411,POST /api/customer/owners/{ownerId}/pets,201,Created,Petclinic Load Test 1-1,text,true,,230,274,3,3,http://4.156.9.169/api/customer/owners/1/pets,411,0,0
1769049459685,582,GET /api/customer/owners,200,OK,Petclinic Load Test 1-2,text,true,,3134,176,3,3,http://4.156.9.169/api/customer/owners,582,0,0
1769049460471,218,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-3,text,true,,128,189,3,3,http://4.156.9.169/api/visit/owners/*/pets/4/visits,217,0,103
1769049461218,689,GET /api/customer/owners,200,OK,Petclinic Load Test 1-1,text,true,,3134,176,3,3,http://4.156.9.169/api/customer/owners,689,0,0
1769049462513,314,GET /api/gateway/owners/{ownerId},200,OK,Petclinic Load Test 1-3,text,true,,623,177,3,3,http://4.156.9.169/api/gateway/owners/6,314,0,0
1769049463022,214,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-2,text,true,,336,178,3,3,http://4.156.9.169/api/customer/owners/8,213,0,0
1769049463627,224,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-1,text,true,,343,178,3,3,http://4.156.9.169/api/customer/owners/9,224,0,0
1769049464120,142,POST /api/customer/owners,201,Created,Petclinic Load Test 1-3,text,true,,268,343,4,4,http://4.156.9.169/api/customer/owners,142,0,0
1769049464958,737,GET /api/customer/owners,200,OK,Petclinic Load Test 1-1,text,true,,3264,176,4,4,http://4.156.9.169/api/customer/owners,737,0,0
1769049465859,253,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-4,text,true,,128,189,4,4,http://4.156.9.169/api/visit/owners/*/pets/3/visits,251,0,142
1769049466206,307,GET /api/vet/vets,200,OK,Petclinic Load Test 1-2,text,true,,781,169,4,4,http://4.156.9.169/api/vet/vets,307,0,0
1769049466662,261,POST /api/visit/owners/*/pets/{petId}/visits,201,Created,Petclinic Load Test 1-3,text,true,,212,285,4,4,http://4.156.9.169/api/visit/owners/*/pets/4/visits,261,0,0
1769049467601,169,POST /api/customer/owners,201,Created,Petclinic Load Test 1-4,text,true,,268,343,4,4,http://4.156.9.169/api/customer/owners,168,0,0
1769049468295,267,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-1,text,true,,417,178,4,4,http://4.156.9.169/api/customer/owners/1,267,0,0
1769049469314,374,GET /api/vet/vets,200,OK,Petclinic Load Test 1-2,text,true,,781,169,4,4,http://4.156.9.169/api/vet/vets,374,0,0
1769049469544,561,GET /api/customer/owners,200,OK,Petclinic Load Test 1-3,text,true,,3401,176,5,5,http://4.156.9.169/api/customer/owners,561,0,0
1769049469769,739,GET /api/customer/owners,200,OK,Petclinic Load Test 1-4,text,true,,3401,176,5,5,http://4.156.9.169/api/customer/owners,739,0,0
1769049471125,393,POST /api/customer/owners/{ownerId}/pets,201,Created,Petclinic Load Test 1-1,text,true,,232,275,5,5,http://4.156.9.169/api/customer/owners/1/pets,393,0,0
1769049471506,338,GET /api/vet/vets,200,OK,Petclinic Load Test 1-2,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,338,0,0
1769049472241,245,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-5,text,true,,128,189,5,5,http://4.156.9.169/api/visit/owners/*/pets/5/visits,245,0,111
1769049472468,190,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-4,text,true,,421,179,5,5,http://4.156.9.169/api/customer/owners/10,190,0,0
1769049473088,185,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-3,text,true,,338,178,5,5,http://4.156.9.169/api/customer/owners/5,185,0,0
1769049472766,712,GET /api/customer/owners,200,OK,Petclinic Load Test 1-1,text,true,,3490,176,5,5,http://4.156.9.169/api/customer/owners,712,0,0
1769049473716,171,POST /api/customer/owners,201,Created,Petclinic Load Test 1-5,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,171,0,0
1769049473689,301,GET /api/vet/vets,200,OK,Petclinic Load Test 1-2,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,301,0,0
1769049474471,118,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-3,text,true,,257,189,5,5,http://4.156.9.169/api/visit/owners/*/pets/7/visits,118,0,0
1769049475150,172,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-1,text,true,,421,179,5,5,http://4.156.9.169/api/customer/owners/10,172,0,0
